helper,helper_name,callsite,instruction_bytes,instruction,scan_range,confidence
0x034AAE,can_command_queue_helper,0x02EA0A,80ffa460,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA1A,80ff9460,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA26,80ff8860,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA32,80ff7c60,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA6C,80ff4260,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA7A,80ff3460,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034AAE,can_command_queue_helper,0x02EA8A,80ff2460,"jarl 0x34aae, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E6C8,80ff0a65,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E6E6,80ffec64,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E6FC,80ffd664,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E71E,80ffb464,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E73E,80ff9464,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E744,80ff8e64,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E77C,80ff5664,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E782,80ff5064,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E788,80ff4a64,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7A2,80ff3064,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7A8,80ff2a64,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7AE,80ff2464,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7D0,80ff0264,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7D6,80fffc63,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E7DC,80fff663,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E810,80ffc263,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E828,80ffaa63,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E834,80ff9e63,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E84A,80ff8863,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E850,80ff8263,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E872,80ff6063,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E87E,80ff5463,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E89C,80ff3663,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E8A2,80ff3063,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E8C6,80ff0c63,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E8E6,80ffec62,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E8EC,80ffe662,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E8F2,80ffe062,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E90C,80ffc662,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E912,80ffc062,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E92E,80ffa462,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E952,80ff8062,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E958,80ff7a62,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E960,80ff7262,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E98C,80ff4662,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E992,80ff4062,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E998,80ff3a62,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E9AA,80ff2862,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E9B0,80ff2262,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02E9B6,80ff1c62,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EAB0,80ff2261,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EAB6,80ff1c61,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EADC,80fff660,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB02,80ffd060,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB08,80ffca60,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB10,80ffc260,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB2A,80ffa860,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB32,80ffa060,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB3A,80ff9860,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB60,80ff7260,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB66,80ff6c60,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB6E,80ff6460,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
0x034BD2,sfr_register_helper,0x02EB88,80ff4a60,"jarl 0x34bd2, lp",rx_buffer_or_can_service_path,confirmed-by-code-path
