table,index,offset,object_key,handler,entry_class,matching_primary_can_entries,matching_filter_entries,inference
Dispatch/wrapper table,0,0x021A40,0x8001,0x131580,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,1,0x021A4C,0x8004,0x131566,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,2,0x021A58,0x8005,0x13154C,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,3,0x021A64,0x8007,0x131532,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,4,0x021A70,0x800C,0x133B04,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,5,0x021A7C,0x800F,0x131F7E,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,6,0x021A88,0x8010,0x131F64,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,7,0x021A94,0x8011,0x131F4A,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,8,0x021AA0,0x8012,0x131F30,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,9,0x021AAC,0x8040,0x133AAC,1,Group B[78] 0x010 flags=0x0A000,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,10,0x021AB8,0x8041,0x134D0C,1,Group B[77] 0x010 flags=0x12000,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,11,0x021AC4,0x8042,0x131F16,1,Group B[76] 0x010 flags=0x24000,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,12,0x021AD0,0x8043,0x134CD8,1,Group B[74] 0x010 flags=0x3C000; Group B[75] 0x010 flags=0x30000,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,13,0x021ADC,0x8044,0x133A54,1,Group B[73] 0x011 flags=0x00000,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,14,0x021AE8,0x8045,0x131EFC,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,15,0x021AF4,0x8048,0x134CA4,1,,,message-object key to handler wrapper/function and class
Dispatch/wrapper table,16,0x021B00,0x804C,0x13288C,2,,,message-object key to handler wrapper/function and class
