index,table_offset,raw,frame_id,flags_or_variant,clean_standard_encoding,dlc,payload_ram_ptr,aux_func_a,aux_func_b,scheduler_bucket,scheduler_mask,object_key,direct_dispatch_handlers,wire_id_ipc_source_60,wire_id_bcm_source_40,exact_live_source_60,live_count,live_period_ms,live_payload,role,wake_power_confidence
0,0x01DE74,0x1FC40000,0x7F1,0x00000,yes,8,0x3FFA7A4,,0x11C1AC,0,0x02,0x1FC4,,0x7f1,0x7f1,no,,,,diagnostic_or_diagnostic_response,low-for-wake
1,0x01DE78,0x19040000,0x641,0x00000,yes,8,0x3FFA7AC,0x10A4B0,,0,0x04,0x1904,,0x641,0x641,no,,,,diagnostic_or_diagnostic_response,low-for-wake
2,0x01DE7C,0x19040000,0x641,0x00000,yes,8,0x3FFA7B4,0x10A484,,0,0x08,0x1904,,0x641,0x641,no,,,,diagnostic_or_diagnostic_response,low-for-wake
3,0x01DE80,0x18840000,0x621,0x00000,yes,8,,0x101D64,0x101C7C,1,0x10,0x1884,,0x621,0x621,no,,,,standard_network_management_candidate,medium: table+DLC8; payload/sender direction unresolved
4,0x01DE84,0x15040000,0x541,0x00000,yes,8,0x3FFA7BC,0x100632,,1,0x20,0x1504,,0x541,0x541,no,,,,other_can_object,low-for-wake
5,0x01DE88,0x93FFE000,0x4FF,0x3E000,no,0,,,,1,0x40,0x93FF,,0x13ffe060,0x13ffe040,yes,6,1198.988,,best_dlc0_heartbeat_or_wake_candidate,strong: table+DLC0+null-payload+exact-live-IPC-origin
6,0x01DE8C,0x90EC8000,0x43B,0x08000,no,8,0x3FFA7C4,,0x11B6BE,1,0x80,0x90EC,,0x10ec8060,0x10ec8040,no,,,,other_can_object,low-for-wake
7,0x01DE90,0x90EC4000,0x43B,0x04000,no,8,0x3FFA7CC,,0x11B690,1,0x01,0x90EC,,0x10ec4060,0x10ec4040,no,,,,other_can_object,low-for-wake
8,0x01DE94,0x90AEC000,0x42B,0x2C000,no,8,0x3FFA7D4,0x109C78,0x11C6F8,1,0x02,0x90AE,0x1304E4@0x0224E4,0x10aec060,0x10aec040,no,,,,low_speed_ipc_projected_family,low-for-wake
9,0x01DE98,0x90ACA000,0x42B,0x0A000,no,8,0x3FFA7DC,0x109C74,0x11C306,1,0x04,0x90AC,0x130518@0x0224CC,0x10aca060,0x10aca040,no,,,,low_speed_ipc_projected_family,low-for-wake
10,0x01DE9C,0x90858000,0x421,0x18000,no,4,0x3FFA7E4,,0x11F72C,1,0x08,0x9085,0x13120C@0x02234C,0x10858060,0x10858040,no,,,,other_can_object,low-for-wake
11,0x01DEA0,0x90814000,0x420,0x14000,no,4,0x3FFA7E8,,0x11EBBE,2,0x10,0x9081,0x131274@0x02231C,0x10814060,0x10814040,no,,,,other_can_object,low-for-wake
12,0x01DEA4,0x9080E000,0x420,0x0E000,no,8,0x3FFA7EC,,0x11E53A,2,0x20,0x9080,0x13128E@0x022310,0x1080e060,0x1080e040,no,,,,other_can_object,low-for-wake
13,0x01DEA8,0x9080A000,0x420,0x0A000,no,4,0x3FFA7F4,,0x11E5EE,2,0x40,0x9080,0x13128E@0x022310,0x1080a060,0x1080a040,no,,,,other_can_object,low-for-wake
14,0x01DEAC,0x90806000,0x420,0x06000,no,5,0x3FFA7F8,,0x11F662,2,0x80,0x9080,0x13128E@0x022310,0x10806060,0x10806040,no,,,,other_can_object,low-for-wake
15,0x01DEB0,0x90800000,0x420,0x00000,no,6,0x3FFA800,,0x11D810,2,0x01,0x9080,0x13128E@0x022310,0x10800060,0x10800040,no,,,,other_can_object,low-for-wake
16,0x01DEB4,0x907AA000,0x41E,0x2A000,no,1,0x3FFA808,0x11DB0C,0x11DAE2,2,0x02,0x907A,0x130CE4@0x0222C8,0x107aa060,0x107aa040,no,,,,other_can_object,low-for-wake
17,0x01DEB8,0x907A4000,0x41E,0x24000,no,1,0x3FFA80C,,0x11BB10,2,0x04,0x907A,0x130CE4@0x0222C8,0x107a4060,0x107a4040,no,,,,other_can_object,low-for-wake
18,0x01DEBC,0x90790000,0x41E,0x10000,no,1,0x3FFA810,,0x11E218,2,0x08,0x9079,0x130CFE@0x0222BC,0x10790060,0x10790040,no,,,,other_can_object,low-for-wake
19,0x01DEC0,0x90788000,0x41E,0x08000,no,6,0x3FFA814,,0x11D068,3,0x10,0x9078,0x130D18@0x0222B0,0x10788060,0x10788040,no,,,,other_can_object,low-for-wake
20,0x01DEC4,0x90784000,0x41E,0x04000,no,4,0x3FFA81C,,0x11CF52,3,0x20,0x9078,0x130D18@0x0222B0,0x10784060,0x10784040,no,,,,other_can_object,low-for-wake
21,0x01DEC8,0x90780000,0x41E,0x00000,no,8,0x3FFA820,,0x11D252,3,0x40,0x9078,0x130D18@0x0222B0,0x10780060,0x10780040,no,,,,other_can_object,low-for-wake
22,0x01DECC,0x9077C000,0x41D,0x3C000,no,4,0x3FFA828,,0x11B20A,3,0x80,0x9077,0x130D32@0x0222A4,0x1077c060,0x1077c040,no,,,,other_can_object,low-for-wake
23,0x01DED0,0x9076C000,0x41D,0x2C000,no,1,0x3FFA82C,,0x11BB9C,3,0x01,0x9076,0x130D4C@0x022298,0x1076c060,0x1076c040,no,,,,other_can_object,low-for-wake
24,0x01DED4,0x90768000,0x41D,0x28000,no,4,0x3FFA830,,0x11BC16,3,0x02,0x9076,0x130D4C@0x022298,0x10768060,0x10768040,no,,,,other_can_object,low-for-wake
25,0x01DED8,0x90758000,0x41D,0x18000,no,3,0x3FFA834,,0x11E7C6,3,0x04,0x9075,0x130D66@0x02228C,0x10758060,0x10758040,no,,,,other_can_object,low-for-wake
26,0x01DEDC,0x90756000,0x41D,0x16000,no,1,0x3FFA838,,0x11E890,3,0x08,0x9075,0x130D66@0x02228C,0x10756060,0x10756040,no,,,,other_can_object,low-for-wake
27,0x01DEE0,0x90754000,0x41D,0x14000,no,3,0x3FFA83C,,0x11BF9E,4,0x10,0x9075,0x130D66@0x02228C,0x10754060,0x10754040,no,,,,other_can_object,low-for-wake
28,0x01DEE4,0x90728000,0x41C,0x28000,no,1,0x3FFA840,,0x11D01E,4,0x20,0x9072,0x1312F6@0x022268,0x10728060,0x10728040,no,,,,other_can_object,low-for-wake
29,0x01DEE8,0x90722000,0x41C,0x22000,no,4,0x3FFA844,,0x11D880,4,0x40,0x9072,0x1312F6@0x022268,0x10722060,0x10722040,no,,,,other_can_object,low-for-wake
30,0x01DEEC,0x9071C000,0x41C,0x1C000,no,1,0x3FFA848,,0x11DAAA,4,0x80,0x9071,0x131310@0x02225C,0x1071c060,0x1071c040,no,,,,other_can_object,low-for-wake
31,0x01DEF0,0x90718000,0x41C,0x18000,no,2,0x3FFA84C,0x109C70,0x11DA12,4,0x01,0x9071,0x131310@0x02225C,0x10718060,0x10718040,no,,,,other_can_object,low-for-wake
32,0x01DEF4,0x90714000,0x41C,0x14000,no,1,0x3FFA850,,0x11E262,4,0x02,0x9071,0x131310@0x02225C,0x10714060,0x10714040,no,,,,other_can_object,low-for-wake
33,0x01DEF8,0x90708000,0x41C,0x08000,no,5,0x3FFA854,,0x11CFDC,4,0x04,0x9070,0x13132A@0x022250,0x10708060,0x10708040,no,,,,other_can_object,low-for-wake
34,0x01DEFC,0x90704000,0x41C,0x04000,no,4,0x3FFA85C,,0x11EA84,4,0x08,0x9070,0x13132A@0x022250,0x10704060,0x10704040,no,,,,other_can_object,low-for-wake
35,0x01DF00,0x906FC000,0x41B,0x3C000,no,1,0x3FFA860,,0x11CBDC,5,0x10,0x906F,0x131344@0x022244,0x106fc060,0x106fc040,no,,,,other_can_object,low-for-wake
36,0x01DF04,0x906F8000,0x41B,0x38000,no,2,0x3FFA864,,0x11CC38,5,0x20,0x906F,0x131344@0x022244,0x106f8060,0x106f8040,no,,,,other_can_object,low-for-wake
37,0x01DF08,0x906F4000,0x41B,0x34000,no,1,0x3FFA868,,0x11CCD2,5,0x40,0x906F,0x131344@0x022244,0x106f4060,0x106f4040,no,,,,other_can_object,low-for-wake
38,0x01DF0C,0x906F0000,0x41B,0x30000,no,1,0x3FFA86C,,0x1272A4,5,0x80,0x906F,0x131344@0x022244,0x106f0060,0x106f0040,no,,,,other_can_object,low-for-wake
39,0x01DF10,0x906C0000,0x41B,0x00000,no,5,0x3FFA870,,0x11B646,5,0x01,0x906C,0x131392@0x022220,0x106c0060,0x106c0040,no,,,,other_can_object,low-for-wake
40,0x01DF14,0x906B8000,0x41A,0x38000,no,8,0x3FFA878,,0x11B266,5,0x02,0x906B,0x1313AC@0x022214,0x106b8060,0x106b8040,no,,,,other_can_object,low-for-wake
41,0x01DF18,0x906B0000,0x41A,0x30000,no,1,0x3FFA880,,0x11BDA8,5,0x04,0x906B,0x1313AC@0x022214,0x106b0060,0x106b0040,no,,,,other_can_object,low-for-wake
42,0x01DF1C,0x906AA000,0x41A,0x2A000,no,1,0x3FFA884,,0x11BE2A,5,0x08,0x906A,0x1313C6@0x022208,0x106aa060,0x106aa040,no,,,,other_can_object,low-for-wake
