frame_id,ram_address,offset_bytes,offset_position,preceding_op,preceding_op_family,known_structured_load,context_start,context_bytes
0x0C9,0x03FF3E6B,6B3E,0x112210,8A57,known-load-family,yes,0x112208,7F 00 40 56 FF 03 8A 57 6B 3E 7F 00 40 56 FF 03 EA 57
0x0C9,0x03FF3F91,913F,0x0035E8,0000,other,no,0x0035E0,00 EA 1D 88 51 8E 00 00 91 3F F5 16 6F 3A C9 15 1D 70
0x0C9,0x03FF3F91,913F,0x0387BC,CA89,other,no,0x0387B4,95 25 1D 30 1D 88 CA 89 91 3F 01 00 01 42 BF FF 14 FF
0x0C9,0x03FF3F91,913F,0x0387E4,CA89,other,no,0x0387DC,B5 F5 1D 30 1D 88 CA 89 91 3F 01 00 20 46 13 00 B5 ED
0x0C9,0x03FF3F91,913F,0x100764,0200,other,no,0x10075C,06 2D 1D 88 51 8E 02 00 91 3F 79 DD E0 39 C2 05 1D 30
0x0C9,0x03FF3F91,913F,0x101212,D789,other,no,0x10120A,61 B2 AA 0D 1C 88 D7 89 91 3F 01 00 1C 30 9D 39 87 00
0x0C9,0x03FF3F91,913F,0x10137A,D789,other,no,0x101372,80 FF 3E 26 1C 88 D7 89 91 3F 01 00 1C 30 9D 39 87 00
0x0C9,0x03FF3F91,913F,0x1120E6,AA57,known-load-family,yes,0x1120DE,7F 00 40 56 FF 03 AA 57 91 3F 7F 00 40 56 FF 03 EA 57
0x0C9,0x03FF8391,9183,0x087DC4,908B,other,no,0x087DBC,95 7F 01 00 00 52 90 8B 91 83 92 7B 06 F0 18 02 0A 02
0x0C9,0x03FF8391,9183,0x117B44,AA57,known-load-family,yes,0x117B3C,20 02 40 56 00 04 AA 57 91 83 7F 00 40 56 00 04 8A 57
0x0C9,0x03FF8391,9183,0x118146,8A57,known-load-family,yes,0x11813E,7F 00 40 56 00 04 8A 57 91 83 7F 00 40 56 00 04 8A 57
0x0C9,0x03FF83EB,EB83,0x0169B8,3000,other,no,0x0169B0,CC 83 FF 03 02 00 30 00 EB 83 FF 03 01 00 10 00 DE 83
0x0C9,0x03FF83EB,EB83,0x117B80,AA57,known-load-family,yes,0x117B78,7F 00 40 56 00 04 AA 57 EB 83 7F 00 40 56 00 04 8A 57
0x0C9,0x03FF83EB,EB83,0x117F8A,8A57,known-load-family,yes,0x117F82,7F 00 40 56 00 04 8A 57 EB 83 7F 00 40 56 00 04 AA 57
0x0C9,0x03FF84BB,BB84,0x048494,4417,other,no,0x04848C,E5 87 81 68 04 12 44 17 BB 84 44 07 BA 84 7D 87 08 00
0x0C9,0x03FF84BB,BB84,0x0484FA,4417,other,no,0x0484F2,BF FF D6 FE 02 12 44 17 BB 84 44 07 BA 84 44 07 B9 84
0x0C9,0x03FF84BB,BB84,0x04854A,848F,possible-write-or-bitop-family,no,0x048542,00 52 20 02 0A 02 84 8F BB 84 06 E8 61 8A 9A 15 05 3A
0x0C9,0x03FF84BB,BB84,0x048560,4417,other,no,0x048558,01 12 5D 17 10 00 44 17 BB 84 02 12 44 17 BC 84 0E 12
0x0C9,0x03FF84BB,BB84,0x048690,4417,other,no,0x048688,44 07 BA 84 03 12 44 17 BB 84 7D 6F 05 00 02 12 85 67
