ram_address,access_offset,kind,op,op_family,nearest_group_a_frame,nearest_group_a_builder,nearest_group_a_builder_kind,distance_to_builder,near_focus_builder
0x03FF8081,0x048136,short-gp,2467,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1B02,no
0x03FF8081,0x0482F6,short-gp,2447,other-ram-family,0x0F1,0x109C38,aux_func_a,0xC1942,no
0x03FF8081,0x04839A,short-gp,245F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC189E,no
0x03FF84B9,0x04847C,short-gp,A48F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC17BC,no
0x03FF84B9,0x0484E6,short-gp,A48F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1752,no
0x03FF8081,0x048526,short-gp,247F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1712,no
0x03FF84BB,0x048548,short-gp,848F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC16F0,no
0x03FF8081,0x048584,short-gp,247F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC16B4,no
0x03FF8081,0x0485CE,short-gp,2477,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC166A,no
0x03FF84B9,0x048658,short-gp,848F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC15E0,no
0x03FF84BD,0x04866A,short-gp,A47F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC15CE,no
0x03FF84B9,0x04877C,short-gp,846F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC14BC,no
0x03FF84BD,0x048788,short-gp,A467,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC14B0,no
0x03FF8081,0x0488F8,short-gp,248F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1340,no
0x03FF84B9,0x0489B8,short-gp,A48F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1280,no
0x03FF84BB,0x0489C4,short-gp,A487,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1274,no
0x03FF8081,0x0489D8,short-gp,246F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1260,no
0x03FF8081,0x0489F0,short-gp,2457,load-family,0x0F1,0x109C38,aux_func_a,0xC1248,no
0x03FF84BD,0x0489FC,short-gp,A48F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC123C,no
0x03FF84B9,0x048A06,short-gp,8487,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC1232,no
0x03FF8081,0x048AC6,short-gp,2457,load-family,0x0F1,0x109C38,aux_func_a,0xC1172,no
0x03FF8081,0x048B46,short-gp,2457,load-family,0x0F1,0x109C38,aux_func_a,0xC10F2,no
0x03FF8081,0x048B86,short-gp,245F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC10B2,no
0x03FF8081,0x048C16,short-gp,2457,load-family,0x0F1,0x109C38,aux_func_a,0xC1022,no
0x03FF8081,0x048C7A,short-gp,245F,write-or-bitop-family,0x0F1,0x109C38,aux_func_a,0xC0FBE,no
0x03FF8081,0x048CC0,short-gp,2457,load-family,0x0F1,0x109C38,aux_func_a,0xC0F78,no
