live_can_id,live_low_18_flags_variant,projected_bcm_frame_id,table_wire_id_source_60,exact_wire_id_match,table_index,table_offset,raw,object_key,handler,writer,getter,getter_source,first_payload,median_period_ms,trace_status
0x13FFE060,0x3E060,0x4FF,0x13FFE060,yes,5,0x01DE88,0x93FFE000,0x93FF,,,,,,1198.988,table-only; no direct dispatch entry
0x10ACE060,0x0E060,0x42B,0x10AEC060,no,8,0x01DE94,0x90AEC000,0x90AE,0x1304E4,write_u32_be,0x110AFE,RAM/SFR 0x03FF0000+0x377c -> 0x03FF377C,1E00000000000000,111.898,payload builder traced
0x10AE8060,0x28060,0x42B,0x10AEC060,no,8,0x01DE94,0x90AEC000,0x90AE,0x1304E4,write_u32_be,0x110AFE,RAM/SFR 0x03FF0000+0x377c -> 0x03FF377C,030E010104050000,27.403,payload builder traced
0x10AFC060,0x3C060,0x42B,0x10AEC060,no,8,0x01DE94,0x90AEC000,0x90AE,0x1304E4,write_u32_be,0x110AFE,RAM/SFR 0x03FF0000+0x377c -> 0x03FF377C,38FFFFFFFFFFFF2B,,payload builder traced
0x10ACE060,0x0E060,0x42B,0x10ACA060,no,9,0x01DE98,0x90ACA000,0x90AC,0x130518,write_u32_be,0x110B12,RAM/SFR 0x03FF0000+0x3774 -> 0x03FF3774,1E00000000000000,111.898,payload builder traced
0x10AE8060,0x28060,0x42B,0x10ACA060,no,9,0x01DE98,0x90ACA000,0x90AC,0x130518,write_u32_be,0x110B12,RAM/SFR 0x03FF0000+0x3774 -> 0x03FF3774,030E010104050000,27.403,payload builder traced
0x10AFC060,0x3C060,0x42B,0x10ACA060,no,9,0x01DE98,0x90ACA000,0x90AC,0x130518,write_u32_be,0x110B12,RAM/SFR 0x03FF0000+0x3774 -> 0x03FF3774,38FFFFFFFFFFFF2B,,payload builder traced
0x1084A060,0x0A060,0x421,0x10858060,no,10,0x01DE9C,0x90858000,0x9085,0x13120C,write_u8,0x111D8C,RAM gp-31477 -> 0x03FE8A83,00,58.712,payload builder traced
0x10812060,0x12060,0x420,0x10814060,no,11,0x01DEA0,0x90814000,0x9081,0x131274,write_u8,0x111DA4,RAM gp-31479 -> 0x03FE8A81,00,,payload builder traced
0x10812060,0x12060,0x420,0x1080E060,no,12,0x01DEA4,0x9080E000,0x9080,0x13128E,write_u8,0x111DAA,RAM gp-31478 -> 0x03FE8A82,00,,payload builder traced
0x10812060,0x12060,0x420,0x1080A060,no,13,0x01DEA8,0x9080A000,0x9080,0x13128E,write_u8,0x111DAA,RAM gp-31478 -> 0x03FE8A82,00,,payload builder traced
