id,frame_type,score,reason,keyoff_count,keyon_count,keyon_startcar_count,engine_running_count,keyoff_rate_hz,keyon_rate_hz,keyon_startcar_rate_hz,engine_running_rate_hz,keyoff_top,keyon_top,keyon_startcar_top,engine_running_top,keyoff_top_count,keyon_top_count,keyon_startcar_top_count,engine_running_top_count,keyon_delta,running_delta,keyon_preview,running_preview
185,standard,11935,stable_or_low_signal,900,3335,3827,7700,50.003,49.978,49.983,49.972,03FC,03FC,03FC,03FC,593,2113,2213,4343,same,same,"03FC x2113, 03FB x1121, 03FD x82","03FC x4343, 03FB x3097, 03FD x198"
232,standard,11935,stable_or_low_signal,900,3335,3827,7700,50.003,49.978,49.983,49.972,00000000000000,00000000000000,00000000000000,00000000000000,900,3335,3827,7700,same,same,00000000000000 x3335,00000000000000 x7700
1C7,standard,8200,dominant_payload_changes_running,900,3335,3827,7700,50.003,49.978,49.983,49.972,06A0F95D00003E,06A0F95D00003E,06A0F95D00003E,06A0795F00003E,225,834,957,1925,same,"b2:F9->79, b3:5D->5F","06A0F95D00003E x834, 06A0396000003E x834, 06A0795F00003E x834","06A0795F00003E x1925, 06A0B95E00003E x1925, 06A0F95D00003E x1925"
1CE,standard,8200,dominant_payload_changes_running,900,3335,3827,7700,50.003,49.978,49.983,49.972,180007FD,180007FD,180007FD,080007FF,225,834,957,1925,same,"b0:18->08, b3:FD->FF","180007FD x834, 00000000 x834, 080007FF x834","080007FF x1925, 100007FE x1925, 180007FD x1925"
1E9,standard,8200,dominant_payload_changes_running,900,3335,3827,7700,50.003,49.978,49.983,49.972,0000000600060000,0000000600060000,0000000600060000,0000000600080000,536,1710,1845,5560,same,b5:06->08,"0000000600060000 x1710, 0000000600080000 x1375, 0000000E00080000 x139","0000000600080000 x5560, 0000000600060000 x1958, 0FFD000600080000 x123"
1C6,standard,8199,dominant_payload_changes_running,900,3335,3827,7699,50.003,49.978,49.983,49.966,0000000000C3FFFD,0000000000C3FFFD,0000000000C3FFFD,000000000043FFFF,225,834,957,1925,same,"b5:C3->43, b7:FD->FF","0000000000C3FFFD x834, 0000000000000000 x834, 000000000043FFFF x834","000000000043FFFF x1925, 0000000000C3FFFD x1925, 0000000000000000 x1925"
451,standard,7815,stable_or_low_signal,578,2164,2475,5073,32.113,32.430,32.325,32.923,000000000000,000000000000,000000000000,000000000000,578,2164,2475,5073,same,same,000000000000 x2164,000000000000 x5073
0F1,standard,7275,dominant_payload_changes_keyon,1790,6675,7659,15404,99.450,100.031,100.032,99.971,1C0000400000,280000400000,340000400000,280000400000,448,1669,1915,3851,b0:1C->28,b0:1C->28,"280000400000 x1669, 340000400000 x1669, 000000400000 x1669","280000400000 x3851, 340000400000 x3851, 000000400000 x3851"
0C1,standard,7271,dominant_payload_changes_keyon,1800,6671,7654,15402,100.006,99.971,99.967,99.958,1000000010000000,2000000020000000,9002E34010000000,50089CDE90011FE8,450,1668,1309,3851,"b0:10->20, b4:10->20","b0:10->50, b1:00->08, b2:00->9C, b3:00->DE, b4:10->90, b5:00->01, b6:00->1F, b7:00->E8","2000000020000000 x1668, 3000000030000000 x1668, 0000000000000000 x1668","50089CDE90011FE8 x3851, 60089CDEA0011FE8 x3851, 70089CDEB0011FE8 x3850"
0C5,standard,7270,dominant_payload_changes_keyon,1800,6670,7654,15402,100.006,99.957,99.967,99.958,1000000010000000,2000000020000000,2000000020000000,1000000010000000,450,1668,1914,3851,"b0:10->20, b4:10->20",same,"2000000020000000 x1668, 3000000030000000 x1668, 0000000000000000 x1667","1000000010000000 x3851, 2000000020000000 x3851, 3000000030000000 x3850"
